GT354017;Vállalkozásgazdaságtan;5.0;;;;;OPTIONAL;0;
VIMIAV13;Jelfeldolgozás FPGA-val;4.0;4/0/0/v;BOTH;MIT;;OPTIONAL;0;A digitális jelfeldolgozórendszerek ésarchitektúrákfejlődése robbanásszerűen felgyorsult. Elterjedten használjuk ezeketa kommunikációban, mérési adatok feldolgozásában, multimédia ill. szórakoztató elektronikai eszközökben, folyamatirányításban. Bár az alkalmazások köre igen széles, mégis könnyen azonosítható néhány olyan felhasználási terület, ami jól jellemzi ezenadatfolyam típusújelfeldolgozási megoldások legjellemzőbb megvalósítási lehetőségeit. A digitális jelfeldolgozás olyan típusú megközelítése, amikor a jelfeldolgozó processzor felépítése, műveleti egységeinek száma, illetve ezek részletes tulajdonságai a feladat igényei szerint alakíthatók lehetővé teszi a legkedvezőbb struktúrák, aritmetikai megoldások használatát, az erőforrások felhasználásával elérhető teljesítmény egyedi méretezését. A tárgy célja egyrésztaz alap jelfeldolgozási feladatok rövid áttekintése, másrészt a feladatok megoldására alkalmazható architektúrák ismertetése. A félév három, nagyjából egyenlő részre tagolódik:
VISZM106;Tömegkiszolgálás;4.0;3/0/0/f;INFO;SZIT;MSC;OPTIONAL;1;
VIAUAC03;Szoftverfejlesztés laboratórium 1;2.0;0/0/2/f;INFO;AUT;BSC;CORE;6;
VITMA404;Beszédinformációs rendszerek;5.0;3/1/0/f;BOTH;TMIT;;OPTIONAL;0;Az emberi információkezelés és kommunikáció alapja a természetes beszédlánc (beszélő ember  levegő  hallgató ember) működése. A beszédinformációs rendszerek a természetes beszédlánc egy vagy több elemének mesterséges informatikai megvalósítását (pl. beszédfelismerés, beszédszintézis, stb.) integrálják az információ gyűjtésével, tárolásával, feldolgozásával és/vagy az ahhoz való hozzáféréssel kapcsolatos folyamatokba. Napjainkban számos gyakorlati alkalmazásban megjelentek a nagyméretű, egyre jobban integrált és automatizált beszédinformációs rendszerek (pl. okostelefonok, TVk, tabletek automatizált beszédfunkciói, hívásközpontok, telebanking). A tárgy célja a beszédlánc elemei mesterséges megvalósításának megismertetése és a beszéddel vezérelt és/vagy beszéddel válaszoló információs rendszerek azon eljárásainak taglalása, amelyek beszédspecifikusak. A tárgy gyakorlati példák felhasználásával mutatja be a beszédinformációs rendszerek kialakításához szükséges elméleti és gyakorlati ismereteket, az automatizáláshoz alkalmazható beszédtechnológiai eszközrendszer főbb elemeit, azok alapvető működési elveit, specifikációs jellemzőit.
TE921201;Differenciálegyenletek alkalmazásai;3.0;;;;;OPTIONAL;0;
GT421992;Környezeti jog;2.0;;;;;OPTIONAL;0;
VISZA083;Adatbányászat - 1;2.0;;;SZIT;;OPTIONAL;0;
VIIIM951;Diplomatervezés 2;20.0;0/10/0/f;BOTH;IIT;MSC;OPTIONAL;0;A második félév programja a feladat megoldásának befejezése, valamint a diplomaterv elkészítése.
VIMIA429;Informatikai technológiák laboratórium 2.;2.0;0/0/2/f;INFO;MIT;;CORE;7;A tárgy célja az Adatvezérelt alkalmazások fejlesztése, az Objektumorientált szoftvertervezés és az Intelligens rendszerfelügyelet című tárgyak anyagának gyakorlása és elmélyítése laboratóriumi mérések elvégzésével.
